episode_id,duid,class,first_exit_rel_h,reversed,ma_at_issue,in_new_lobe,in_old_lobe
334,OSB-AG,signal then direction,-44.9452777777778,FALSE,0,TRUE,FALSE
337,OSB-AG,signal then direction,-44.1252777777778,FALSE,0,TRUE,TRUE
338,OSB-AG,signal then direction,-42.9958333333333,FALSE,0,TRUE,FALSE
524,PPCCGT,signal then direction,-44.8113888888889,FALSE,0,FALSE,TRUE
525,PPCCGT,no exit signal ever,,FALSE,0,FALSE,TRUE
526,PPCCGT,signal then direction,-30.7480555555556,FALSE,0,FALSE,TRUE
532,PPCCGT,no exit signal ever,,FALSE,0,FALSE,TRUE
533,PPCCGT,no exit signal ever,,FALSE,248.290909090909,TRUE,TRUE
536,PPCCGT,signal then direction,-43.8633333333333,FALSE,0,FALSE,TRUE
811,TORRB2,signal then direction,-8.08833333333333,FALSE,0,TRUE,FALSE
812,TORRB2,signal after direction,0.121944444444444,FALSE,,TRUE,TRUE
816,TORRB2,signal then direction,-7.89555555555556,FALSE,0,TRUE,FALSE
817,TORRB2,signal then direction,-8.46805555555556,FALSE,23.3009708737864,FALSE,TRUE
818,TORRB2,signal then direction,-9.90333333333333,FALSE,0,TRUE,TRUE
819,TORRB2,signal then direction,-9.605,FALSE,0,TRUE,FALSE
820,TORRB2,signal then direction,-0.055,FALSE,20.2105263157895,FALSE,TRUE
821,TORRB2,signal then direction,-8.61138888888889,FALSE,0,TRUE,TRUE
822,TORRB2,signal after direction,0.19,FALSE,,TRUE,TRUE
824,TORRB2,signal then direction,-5.20444444444444,FALSE,0,TRUE,FALSE
825,TORRB2,signal then direction,-33.1591666666667,FALSE,120.061538461538,TRUE,FALSE
827,TORRB2,signal then direction,-2.65166666666667,FALSE,0,TRUE,TRUE
829,TORRB2,signal then direction,-1.90277777777778,FALSE,0,FALSE,TRUE
830,TORRB2,signal then direction,-3.58888888888889,FALSE,0,TRUE,FALSE
831,TORRB2,signal then direction,-7.535,FALSE,26.2142857142857,TRUE,FALSE
833,TORRB2,signal after direction,0.0522222222222222,FALSE,,TRUE,FALSE
835,TORRB2,signal then direction,-2.47777777777778,FALSE,0,TRUE,TRUE
836,TORRB2,signal then direction,-5.13861111111111,FALSE,0,TRUE,FALSE
838,TORRB2,signal then direction,-4.84,FALSE,0,TRUE,FALSE
839,TORRB2,signal then direction,-5.58888888888889,FALSE,0,TRUE,FALSE
840,TORRB2,signal then direction,-3.8925,FALSE,0,TRUE,TRUE
841,TORRB2,signal then direction,-2.20416666666667,FALSE,18.7012987012987,FALSE,TRUE
842,TORRB2,signal then direction,-4.70666666666667,FALSE,75.6,TRUE,TRUE
843,TORRB2,no exit signal ever,,FALSE,0,TRUE,TRUE
844,TORRB2,signal then direction,-30.17,FALSE,0,TRUE,TRUE
845,TORRB2,signal after direction,0.481111111111111,FALSE,,TRUE,TRUE
846,TORRB2,signal after direction,0.223888888888889,FALSE,,TRUE,TRUE
847,TORRB2,signal after direction,0.426666666666667,FALSE,,TRUE,FALSE
848,TORRB2,signal after direction,0.296666666666667,FALSE,,TRUE,FALSE
849,TORRB2,signal after direction,0.273333333333333,FALSE,,TRUE,TRUE
850,TORRB2,signal then direction,-4.185,FALSE,0,TRUE,FALSE
852,TORRB2,no exit signal ever,,FALSE,136.19512195122,TRUE,FALSE
853,TORRB2,signal then direction,-5.84444444444444,FALSE,0,TRUE,FALSE
854,TORRB2,signal then direction,-5.39,FALSE,0,FALSE,TRUE
855,TORRB2,signal then direction,-3.47305555555556,FALSE,0,TRUE,TRUE
858,TORRB2,signal then direction,-2.32083333333333,TRUE,0,TRUE,TRUE
860,TORRB2,signal then direction,-4.26638888888889,FALSE,0,TRUE,TRUE
861,TORRB2,signal then direction,-2.39083333333333,FALSE,39.0439024390244,TRUE,FALSE
864,TORRB2,signal then direction,-1.71777777777778,FALSE,0,TRUE,FALSE
865,TORRB2,signal after direction,0.2775,FALSE,,TRUE,FALSE
866,TORRB2,signal then direction,-3.11027777777778,FALSE,0,TRUE,FALSE
868,TORRB2,signal after direction,18.0730555555556,FALSE,,TRUE,FALSE
872,TORRB2,signal then direction,-6.9475,FALSE,0,TRUE,TRUE
875,TORRB2,signal after direction,19.4594444444444,FALSE,,TRUE,FALSE
876,TORRB2,signal after direction,0.0769444444444444,FALSE,,TRUE,TRUE
880,TORRB2,signal then direction,-9.17361111111111,FALSE,18.6666666666667,FALSE,TRUE
881,TORRB2,signal then direction,-22.6769444444444,FALSE,0,FALSE,TRUE
882,TORRB2,signal then direction,-4.66666666666667,FALSE,0,FALSE,TRUE
883,TORRB2,signal then direction,-30.6663888888889,FALSE,0,TRUE,FALSE
884,TORRB2,signal then direction,-27.6652777777778,FALSE,0,TRUE,FALSE
885,TORRB2,signal then direction,-8.54472222222222,FALSE,55.7777777777778,TRUE,FALSE
887,TORRB2,signal then direction,-26.0083333333333,FALSE,2.27118644067797,TRUE,FALSE
891,TORRB2,signal after direction,17.0002777777778,FALSE,,TRUE,FALSE
892,TORRB2,signal after direction,43.8030555555556,FALSE,,TRUE,FALSE
1132,TORRB3,signal then direction,-3.81,FALSE,101.538461538462,TRUE,FALSE
1134,TORRB3,signal then direction,-7.89555555555556,FALSE,0,FALSE,TRUE
1137,TORRB3,signal then direction,-7.565,FALSE,0,TRUE,FALSE
1138,TORRB3,signal after direction,0.1125,FALSE,,FALSE,TRUE
1139,TORRB3,signal after direction,0.0416666666666667,FALSE,,FALSE,TRUE
1140,TORRB3,signal then direction,-5.04055555555556,FALSE,0,TRUE,FALSE
1141,TORRB3,signal then direction,-7.3175,FALSE,0,TRUE,FALSE
1143,TORRB3,signal then direction,-9.10083333333333,FALSE,0,TRUE,TRUE
1144,TORRB3,signal then direction,-6.37861111111111,FALSE,0,TRUE,FALSE
1145,TORRB3,no exit signal ever,,FALSE,0,TRUE,FALSE
1147,TORRB3,signal then direction,-27.0541666666667,FALSE,0,TRUE,FALSE
1149,TORRB3,signal then direction,-8.49833333333333,FALSE,9.6578947368421,TRUE,FALSE
1151,TORRB3,signal then direction,-0.756388888888889,FALSE,12.1073825503356,TRUE,FALSE
1153,TORRB3,signal then direction,-6.57888888888889,FALSE,0,TRUE,FALSE
1154,TORRB3,signal then direction,-1.18055555555556,FALSE,0,TRUE,TRUE
1159,TORRB3,no exit signal ever,,FALSE,172,TRUE,TRUE
1160,TORRB3,signal then direction,-3.31638888888889,FALSE,100.311926605505,TRUE,TRUE
1163,TORRB3,signal then direction,-3.8925,FALSE,0,TRUE,FALSE
1165,TORRB3,signal then direction,-8.23222222222222,FALSE,0,TRUE,TRUE
1166,TORRB3,signal then direction,-30.17,FALSE,0,FALSE,TRUE
1169,TORRB3,signal then direction,-24.1972222222222,FALSE,0,TRUE,FALSE
1170,TORRB3,signal after direction,21.2433333333333,FALSE,,TRUE,FALSE
1174,TORRB3,signal then direction,-24.2658333333333,FALSE,0,TRUE,FALSE
1175,TORRB3,signal then direction,-5.39,FALSE,0,TRUE,TRUE
1176,TORRB3,signal then direction,-4.26638888888889,FALSE,117.333333333333,TRUE,FALSE
1177,TORRB3,signal then direction,-4.78972222222222,FALSE,12.2666666666667,TRUE,FALSE
