episode_id,duid,station,short_at_tau,short_n1_at_tau,piv_at_tau,piv_n1_at_tau,on_station_at_tau,sisters_online_at_tau,sisters_heading_off_4h,sisters_went_off_prior_4h,other_station_lost_unit_pm4h,sister_at_risk,needed_to_complete,survivor
337,OSB-AG,osborne_gt_st,FALSE,TRUE,FALSE,TRUE,0,,,,FALSE,FALSE,FALSE,TRUE
524,PPCCGT,pelican_point_gt,FALSE,TRUE,FALSE,TRUE,0,,,,FALSE,FALSE,FALSE,TRUE
525,PPCCGT,pelican_point_gt,FALSE,TRUE,FALSE,TRUE,0,,,,FALSE,FALSE,FALSE,TRUE
526,PPCCGT,pelican_point_gt,FALSE,TRUE,TRUE,TRUE,1,,,,FALSE,FALSE,FALSE,FALSE
532,PPCCGT,pelican_point_gt,FALSE,TRUE,FALSE,TRUE,0,,,,FALSE,FALSE,FALSE,TRUE
533,PPCCGT,pelican_point_gt,FALSE,FALSE,FALSE,FALSE,1,,,,FALSE,FALSE,FALSE,FALSE
536,PPCCGT,pelican_point_gt,FALSE,TRUE,FALSE,TRUE,0,,,,FALSE,FALSE,FALSE,TRUE
812,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
817,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
818,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
820,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
821,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
822,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
827,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
829,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,2,1,0,0,TRUE,TRUE,TRUE,TRUE
835,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
840,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
841,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
842,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
843,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
844,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
845,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,TRUE,TRUE,TRUE,TRUE
846,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
849,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,1,0,0,TRUE,TRUE,FALSE,TRUE
854,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
855,TORRB2,torrens_island_b,FALSE,TRUE,FALSE,TRUE,0,0,0,0,TRUE,TRUE,TRUE,TRUE
858,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
860,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
872,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE
876,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
880,TORRB2,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE
881,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,FALSE
882,TORRB2,torrens_island_b,FALSE,FALSE,FALSE,TRUE,2,1,0,0,TRUE,TRUE,TRUE,FALSE
1134,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
1138,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
